srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q11a,Q11b,Q12,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
2038,'1','1','Centre-right','3','3','2','2','4','2','3','2','2','6.0','7.0','5.0','1.0','3.0','2.0','1.0','6.0','4','4','4','4','3.0',2.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','2.0','1.0'
1490,'4','11','Green','2','2','2','2','2','2','2','3','2','3.0','5.0','1.0','3.0','7.0','2.0','3.0','5.0','4','5','4','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','3.0','1','2.0','3.0','1.0'
2228,'4','1','Centre-left','2','1','2','2','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','2','4','4','1','3.0',1.0,nan,'2.0','4.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','2.0','2.0','2.0'
593,'2','20','Centre-right','4','1','4','2','3','3','4','3','2','9.0','9.0','3.0','1.0','7.0','3.0','2.0','9.0','4','2','4','2','nan',nan,nan,'nan','nan','nan','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3.0','3.0','3.0','1.0','3.0','3.0','3.0','3.0','2','1.0','2.0','1.0'
599,'2','16','No-party','5','2','3','3','1','2','1','2','2','5.0','5.0','5.0','1.0','3.0','3.0','5.0','6.0','2','1','2','1','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','2.0','2.0','3.0','3.0','2.0','1.0','2.0','3.0','4.0','3.0','4','1.0','4.0','3.0'
753,'4','11','Green','1','1','1','1','1','1','2','2','1','1.0','3.0','4.0','5.0','8.0','2.0','7.0','7.0','1','2','2','2','3.0',2.0,nan,'2.0','2.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','2.0','2.0','1.0'
2449,'1','11','Centre-right','4','3','3','4','3','3','3','3','3','7.0','7.0','7.0','2.0','7.0','5.0','5.0','9.0','2','2','2','4','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','3.0','2.0'
499,'4','16','Green','1','1','2','1','1','1','1','2','2','8.0','9.0','9.0','8.0','8.0','8.0','9.0','10.0','5','5','5','1','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','2.0','3.0','2.0','1.0','1.0','4.0','4.0','4.0','4.0','4.0','4.0','3','2.0','2.0','1.0'
1878,'2','11','Centre-right','3','3','3','4','1','1','1','1','1','3.0','4.0','3.0','2.0','5.0','2.0','3.0','5.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','2.0','3.0','2.0','3.0','3.0','3.0','3.0','2.0','2.0','1.0','1.0','3.0','2.0','2.0','3.0','2','2.0','2.0','1.0'
949,'2','1','Centre-right','3','2','2','3','2','2','1','2','1','6.0','6.0','7.0','4.0','7.0','6.0','5.0','7.0','4','1','2','1','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','-98.0','-98.0','3.0','3.0','-98.0','3.0','-98.0','3.0','2','1.0','2.0','1.0'
2525,'1','16','Centre-right','4','2','4','4','3','3','3','3','2','8.0','9.0','5.0','5.0','6.0','5.0','3.0','5.0','2','4','2','2','nan',nan,nan,'nan','nan','nan','2.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','2.0','-98.0','3.0','3.0','1','2.0','1.0','3.0'
660,'2','1','Centre-right','3','3','3','3','2','1','2','1','2','5.0','4.0','4.0','3.0','7.0','3.0','4.0','4.0','4','4','5','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','-98.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4','2.0','3.0','3.0'
1764,'2','13','Centre-left','4','4','4','2','2','3','3','3','2','6.0','5.0','5.0','2.0','6.0','1.0','3.0','4.0','1','1','2','1','nan',nan,nan,'nan','nan','nan','2.0','1.0','1.0','1.0','2.0','4.0','1.0','3.0','3.0','3.0','2.0','1.0','4.0','4.0','4.0','2','2.0','2.0','1.0'
2170,'4','1','Other','2','1','2','2','1','1','1','2','1','5.0','5.0','3.0','2.0','4.0','3.0','4.0','5.0','1','1','1','1','nan',nan,nan,'nan','nan','nan','2.0','3.0','3.0','3.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','1','2.0','4.0','1.0'
916,'4','16','-98','3','4','2','4','1','1','2','2','1','5.0','7.0','8.0','1.0','4.0','7.0','6.0','9.0','1','1','2','1','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','1.0','3.0','2.0','2.0','2.0','2.0','2.0','4.0','2.0','-98.0','4.0','4','1.0','3.0','2.0'
1814,'4','11','Green','2','1','1','1','1','2','2','2','1','2.0','1.0','1.0','1.0','1.0','1.0','1.0','2.0','1','2','1','5','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','2.0','3.0','1','2.0','3.0','2.0'
1951,'4','16','Swing','2','2','3','2','2','2','2','4','2','7.0','7.0','8.0','3.0','7.0','5.0','6.0','7.0','1','2','4','2','2.0',1.0,nan,'4.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','3.0','2.0'
1123,'4','19','Right-wing','3','3','3','2','3','3','4','3','3','6.0','5.0','6.0','3.0','6.0','5.0','4.0','6.0','-98','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','2.0','2.0','3.0','2.0','2.0','3.0','3.0','2.0','3.0','3','2.0','2.0','1.0'
1448,'2','36','Centre-left','4','4','4','4','3','3','3','3','3','9.0','9.0','9.0','7.0','8.0','7.0','7.0','9.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','4','2.0','3.0','3.0'
227,'2','20','Centre-right','2','2','3','2','2','2','2','2','1','6.0','5.0','1.0','1.0','4.0','4.0','6.0','5.0','4','4','4','4','2.0',1.0,nan,'4.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','1.0','4.0','2.0'
472,'1','11','Centre-left','2','2','1','1','2','1','1','2','2','1.0','1.0','1.0','1.0','4.0','1.0','3.0','3.0','4','4','2','4','nan',nan,nan,'nan','nan','nan','4.0','4.0','4.0','4.0','4.0','4.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','4.0','1','2.0','2.0','2.0'
1542,'2','-99','Centre-left','2','2','2','2','2','2','3','2','2','8.0','6.0','5.0','1.0','6.0','1.0','1.0','4.0','2','4','2','2','2.0',1.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','1.0','2.0'
1755,'2','16','Green','1','2','3','4','3','2','2','3','2','7.0','5.0','4.0','5.0','7.0','7.0','4.0','8.0','2','4','1','4','1.0',nan,2.0,'4.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','3.0','2.0'
2181,'1','11','Centre-left','2','2','3','4','1','2','3','3','2','7.0','8.0','7.0','4.0','7.0','4.0','4.0','8.0','5','4','4','4','nan',nan,nan,'nan','nan','nan','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','4.0','3.0','8','2.0','1.0','1.0'
662,'2','1','No-party','3','4','3','4','1','1','1','1','2','5.0','3.0','5.0','1.0','7.0','1.0','1.0','8.0','4','5','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','2.0','1.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3','2.0','2.0','1.0'
352,'4','4','Centre-left','2','1','1','2','1','1','1','1','1','6.0','6.0','5.0','6.0','6.0','6.0','5.0','6.0','4','4','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','2.0','2.0','2.0','3.0','4.0','3.0','1.0','3.0','3.0','3.0','3.0','3','2.0','2.0','2.0'
484,'2','29','-98','3','2','4','3','2','2','2','2','2','7.0','7.0','7.0','1.0','7.0','7.0','3.0','7.0','2','4','4','2','2.0',2.0,nan,'3.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','3.0'
2409,'1','11','No-party','2','2','2','2','2','2','2','2','2','5.0','6.0','8.0','4.0','8.0','6.0','7.0','9.0','2','4','4','2','2.0',1.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','1.0','4.0','3.0'
2165,'1','17','Green','3','2','3','2','2','2','3','3','3','5.0','5.0','4.0','1.0','7.0','3.0','1.0','8.0','5','5','4','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','4.0','2','2.0','3.0','1.0'
1303,'2','1','Centre-left','4','2','3','2','2','2','3','3','2','7.0','6.0','7.0','2.0','8.0','2.0','6.0','8.0','2','5','2','2','1.0',nan,2.0,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','2.0','2.0','1.0'
899,'2','12','Green','4','4','2','4','3','2','2','2','2','6.0','6.0','8.0','7.0','6.0','8.0','8.0','9.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','1.0','1.0','2.0','2.0','1.0','3.0','1.0','3.0','2.0','2.0','2.0','1.0','1.0','2.0','1.0','5','2.0','1.0','1.0'
2054,'4','14','Green','2','1','2','3','3','3','2','4','2','3.0','4.0','4.0','3.0','9.0','4.0','3.0','3.0','4','5','5','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','2.0','4.0','1.0','3.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','1.0','3.0','3','2.0','1.0','3.0'
1373,'2','30','Centre-right','4','4','3','5','2','2','3','3','2','7.0','3.0','3.0','2.0','5.0','7.0','2.0','7.0','4','4','4','4','2.0',2.0,nan,'1.0','4.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','3.0'
224,'4','11','-98','3','3','1','1','2','2','1','2','1','1.0','4.0','2.0','1.0','4.0','2.0','2.0','6.0','2','2','2','2','1.0',nan,2.0,'1.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','7','2.0','nan','1.0'
810,'4','36','Centre-right','5','5','3','1','1','1','1','2','1','8.0','8.0','8.0','1.0','6.0','7.0','1.0','1.0','1','1','1','1','nan',nan,nan,'nan','nan','nan','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2','2.0','3.0','1.0'
1133,'2','13','Centre-right','2','2','2','2','1','1','2','2','2','6.0','6.0','5.0','4.0','5.0','4.0','4.0','6.0','2','4','2','5','2.0',2.0,nan,'2.0','2.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','4.0','2.0'
163,'2','32','Centre-right','3','3','3','2','3','2','2','3','3','6.0','7.0','5.0','5.0','7.0','6.0','7.0','7.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','-98.0','-98.0','-98.0','2.0','2.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','1','2.0','3.0','2.0'
2235,'2','11','Green','3','2','2','2','1','2','2','4','3','8.0','8.0','3.0','1.0','3.0','1.0','5.0','8.0','5','5','1','4','1.0',nan,2.0,'1.0','4.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','1.0','3.0'
2073,'4','16','Centre-left','4','2','4','2','4','2','3','4','3','8.0','8.0','4.0','4.0','7.0','4.0','5.0','10.0','2','4','4','2','3.0',1.0,nan,'2.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','3.0','1.0'
536,'2','11','Centre-right','2','1','3','2','3','3','4','3','2','6.0','6.0','7.0','2.0','7.0','5.0','5.0','8.0','5','5','5','5','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','4.0','2.0','3.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','1.0','1.0'
2002,'2','1','Green','4','4','3','4','2','1','2','3','3','7.0','6.0','7.0','4.0','7.0','4.0','6.0','7.0','4','4','2','4','2.0',1.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','2.0','1.0'
1253,'4','11','Centre-right','4','3','4','3','4','3','4','3','3','9.0','5.0','7.0','1.0','6.0','5.0','3.0','9.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','1.0','1.0','3.0','3.0','1.0','3.0','1.0','4.0','4.0','4.0','3.0','2.0','4.0','4.0','3.0','8','2.0','2.0','1.0'
1149,'2','1','Independent','4','5','2','2','2','1','3','2','1','8.0','8.0','6.0','4.0','5.0','4.0','1.0','8.0','4','2','4','4','nan',nan,nan,'nan','nan','nan','1.0','1.0','1.0','2.0','1.0','4.0','1.0','1.0','1.0','1.0','2.0','2.0','3.0','3.0','3.0','5','1.0','4.0','2.0'
1160,'4','13','Centre-right','5','5','3','4','1','1','1','1','1','2.0','6.0','1.0','1.0','9.0','2.0','5.0','7.0','1','2','2','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','2.0','1.0','1.0','3.0','2.0','2.0','2.0','3.0','1.0','3.0','3.0','3.0','2.0','3','2.0','4.0','3.0'
2019,'2','1','Centre-right','4','4','4','3','1','3','3','2','2','5.0','6.0','6.0','3.0','5.0','4.0','5.0','4.0','2','4','2','1','nan',nan,nan,'nan','nan','nan','4.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','5','1.0','1.0','3.0'
1381,'4','20','-98','3','2','3','3','1','1','3','2','2','4.0','4.0','2.0','1.0','4.0','2.0','1.0','5.0','1','2','2','2','1.0',nan,2.0,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','1.0'
71,'2','13','-99','5','5','5','5','1','1','1','1','1','1.0','2.0','1.0','1.0','1.0','1.0','1.0','8.0','4','4','4','1','2.0',2.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','3.0','1.0'
1510,'2','20','Green','2','3','4','3','1','1','1','2','1','4.0','2.0','2.0','3.0','6.0','2.0','5.0','5.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','4.0','3.0','3.0','3.0','4.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','1.0','2.0','3.0'
1868,'4','20','Green','4','4','3','2','1','1','2','3','2','8.0','8.0','2.0','2.0','8.0','3.0','3.0','8.0','2','4','4','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','2','1.0','2.0','1.0'
998,'2','1','Centre-right','4','5','2','3','2','2','2','3','2','7.0','8.0','6.0','6.0','9.0','7.0','7.0','8.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','2.0','4.0','1.0','3.0','3.0','3.0','3.0','4','1.0','2.0','1.0'
979,'2','1','Centre-left','3','3','4','3','1','1','2','3','2','7.0','6.0','2.0','2.0','6.0','1.0','4.0','7.0','1','4','2','2','3.0',1.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','3.0','1.0'
1453,'4','16','-99','3','3','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3.0','2','4','4','1','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','2.0','4.0','3.0'
565,'2','1','Centre-right','3','3','3','3','1','1','1','2','1','7.0','6.0','7.0','6.0','5.0','4.0','4.0','7.0','2','2','2','2','3.0',2.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','1.0','3.0','1.0'
654,'4','5','Centre-left','2','3','4','2','1','1','2','1','1','6.0','7.0','4.0','1.0','6.0','5.0','2.0','9.0','4','2','1','2','nan',nan,nan,'nan','nan','nan','3.0','2.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','1.0'
256,'2','13','Centre-right','1','1','2','3','1','1','2','2','1','5.0','5.0','1.0','1.0','8.0','1.0','2.0','7.0','1','2','1','1','1.0',nan,1.0,'1.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','1.0','3.0'
1350,'3','36','Centre-right','3','2','4','3','3','3','3','4','3','6.0','5.0','6.0','5.0','6.0','6.0','5.0','7.0','4','4','4','4','2.0',1.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','3.0'
2058,'2','17','Centre-right','4','4','4','4','3','3','4','-98','3','8.0','8.0','3.0','2.0','7.0','7.0','8.0','9.0','2','2','2','4','2.0',1.0,nan,'2.0','2.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','3.0','2.0'
66,'2','2','Centre-right','2','2','3','3','1','2','1','1','1','9.0','7.0','10.0','1.0','8.0','2.0','2.0','9.0','2','4','2','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','4.0','2.0','4.0','3.0','3.0','4.0','4.0','3.0','4.0','3.0','3.0','3.0','4','1.0','2.0','1.0'
911,'2','13','Centre-right','3','4','3','2','2','2','3','3','1','5.0','2.0','1.0','1.0','7.0','1.0','1.0','6.0','2','4','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','4.0','4','1.0','4.0','1.0'
390,'1','16','No-party','2','1','2','1','2','1','2','1','1','6.0','6.0','3.0','2.0','4.0','2.0','2.0','7.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','4.0','2.0','3.0','3.0','2.0','1.0','2.0','1.0','3.0','2.0','1.0','4.0','1','1.0','3.0','1.0'
2079,'2','13','Centre-left','3','2','2','2','1','1','1','1','1','1.0','1.0','1.0','1.0','2.0','1.0','1.0','3.0','5','5','4','5','nan',nan,nan,'nan','nan','nan','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4.0','1.0','4.0','1.0','1.0','3.0','4.0','3.0','1','1.0','3.0','2.0'
1121,'2','1','Right-wing','2','2','2','2','2','2','2','3','2','5.0','5.0','7.0','3.0','6.0','4.0','4.0','5.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','1.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','2','1.0','2.0','1.0'
165,'2','1','Centre-right','4','2','4','4','4','3','4','3','4','7.0','8.0','6.0','4.0','8.0','5.0','8.0','8.0','5','5','2','4','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','2.0','1.0'
888,'2','26','Centre-right','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','2','4','2','1','nan',nan,nan,'nan','nan','nan','2.0','3.0','2.0','3.0','2.0','4.0','2.0','3.0','3.0','4.0','2.0','3.0','4.0','4.0','3.0','4','1.0','4.0','2.0'
1645,'2','18','Centre-right','4','2','3','3','2','2','2','4','3','9.0','8.0','8.0','7.0','9.0','6.0','7.0','9.0','2','4','4','4','nan',nan,nan,'nan','nan','nan','4.0','3.0','4.0','4.0','3.0','4.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','1.0','3.0','1.0'
550,'2','4','-98','3','4','4','3','3','2','2','4','1','8.0','8.0','8.0','5.0','6.0','2.0','6.0','8.0','4','4','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','2.0','4.0','3.0','3.0','3.0','2','2.0','1.0','1.0'
2001,'2','1','Green','1','1','2','1','1','1','1','3','1','3.0','5.0','1.0','3.0','10.0','1.0','1.0','10.0','1','1','4','1','1.0',nan,1.0,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','1.0','3.0','3.0'
1667,'2','1','No-party','2','3','3','4','1','1','3','3','1','6.0','7.0','5.0','2.0','7.0','4.0','4.0','7.0','5','5','5','2','nan',nan,nan,'nan','nan','nan','2.0','1.0','2.0','2.0','2.0','2.0','1.0','1.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','3','1.0','4.0','3.0'
2185,'2','20','Centre-left','4','4','3','2','4','3','3','3','1','6.0','5.0','3.0','1.0','3.0','2.0','1.0','6.0','4','5','5','1','2.0',2.0,nan,'3.0','2.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','3.0','1.0'
989,'2','16','Centre-right','2','2','2','2','4','4','3','4','4','1.0','1.0','1.0','1.0','5.0','1.0','1.0','5.0','5','5','5','5','2.0',1.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','3.0','1.0'
1597,'1','-98','Centre-right','3','3','3','3','1','1','1','1','4','3.0','5.0','4.0','1.0','5.0','1.0','4.0','6.0','2','4','2','2','nan',nan,nan,'nan','nan','nan','2.0','3.0','3.0','3.0','1.0','4.0','2.0','4.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3','2.0','2.0','2.0'
2204,'2','6','Centre-right','4','4','4','4','3','3','3','3','3','7.0','6.0','6.0','6.0','8.0','6.0','6.0','9.0','2','2','2','2','2.0',1.0,nan,'3.0','1.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','2.0','2.0','2.0'
1191,'4','16','Green','2','2','1','2','1','2','2','3','1','1.0','4.0','1.0','3.0','7.0','3.0','4.0','8.0','1','2','4','1','nan',nan,nan,'nan','nan','nan','2.0','2.0','1.0','3.0','3.0','3.0','3.0','2.0','1.0','1.0','2.0','2.0','3.0','3.0','3.0','5','2.0','2.0','1.0'
1106,'2','-98','Green','2','4','4','5','3','2','2','3','3','9.0','8.0','10.0','5.0','8.0','8.0','6.0','10.0','4','4','4','2','2.0',1.0,nan,'3.0','1.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','2.0','2.0'
1575,'4','-99','Centre-left','4','3','2','2','2','2','1','2','1','3.0','5.0','2.0','5.0','8.0','5.0','6.0','7.0','2','2','1','1','nan',nan,nan,'nan','nan','nan','3.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3','1.0','2.0','2.0'
497,'4','13','Centre-left','5','5','5','5','2','1','2','2','1','3.0','3.0','3.0','3.0','4.0','3.0','3.0','5.0','2','2','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','4.0','3','1.0','3.0','1.0'
2358,'4','13','Centre-right','5','4','4','4','1','1','1','3','1','2.0','2.0','3.0','1.0','3.0','1.0','2.0','3.0','4','5','5','5','2.0',1.0,nan,'2.0','3.0','-98.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','1.0'
934,'4','16','Centre-left','2','1','2','3','2','3','2','2','1','3.0','4.0','4.0','2.0','5.0','1.0','2.0','4.0','1','1','1','2','2.0',2.0,nan,'1.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','1.0'
2538,'2','16','Centre-left','4','3','4','3','4','4','4','4','3','9.0','9.0','8.0','5.0','8.0','7.0','6.0','8.0','4','4','5','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','3.0','8','2.0','2.0','1.0'
572,'2','-98','Centre-right','4','4','4','3','3','3','3','3','2','8.0','8.0','8.0','2.0','8.0','5.0','3.0','8.0','2','5','2','2','2.0',1.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','4.0','2.0'
370,'2','4','Centre-left','3','2','2','2','3','2','2','3','3','7.0','5.0','5.0','2.0','5.0','5.0','5.0','9.0','2','2','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','2.0','3.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','6','2.0','4.0','2.0'
2576,'2','36','Centre-left','4','4','4','4','3','3','3','3','1','9.0','8.0','6.0','5.0','9.0','5.0','6.0','9.0','2','4','4','4','2.0',2.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','6','2.0','2.0','nan'
2008,'2','19','Centre-right','3','4','4','4','3','3','3','3','3','9.0','9.0','9.0','9.0','5.0','7.0','7.0','10.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','2','2.0','3.0','3.0'
526,'5','11','Green','4','5','2','5','3','2','2','3','2','7.0','7.0','5.0','3.0','6.0','6.0','5.0','8.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','3.0','4.0','4.0','4.0','3.0','4.0','4.0','1.0','3.0','3.0','1.0','4.0','3.0','1.0','3.0','1','1.0','4.0','1.0'
260,'5','16','Centre-left','1','1','1','1','1','1','1','1','1','1.0','8.0','1.0','1.0','5.0','1.0','5.0','9.0','5','5','5','1','1.0',nan,2.0,'4.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','1.0'
