srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
401,'4','15','Right-wing','2','1','2','3','1','2','1','1','2','1.0','1.0','1.0','1.0','2.0','4.0','2.0','3.0','2','2','2','2','3.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','4.0','4.0','1.0','3.0','3.0','3.0','3.0','3','1.0','2.0','3.0'
1097,'2','13','Green','4','4','3','4','2','2','2','2','2','9.0','8.0','7.0','4.0','7.0','8.0','4.0','10.0','2','2','2','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','1.0','2.0','2.0','2.0','2.0','6','1.0','3.0','3.0'
1277,'2','-98','Centre-right','4','4','3','3','2','2','3','3','2','5.0','6.0','5.0','5.0','8.0','4.0','3.0','6.0','5','5','5','5','2.0','2.0','2.0','3.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2','2.0','2.0','1.0'
705,'4','96','Green','2','2','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4.0','2','2','2','2','2.0','3.0','1.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','1.0','3.0','3.0','2.0','3.0','1','2.0','2.0','1.0'
1505,'1','19','Centre-right','5','2','4','4','2','1','2','2','2','8.0','8.0','3.0','4.0','5.0','8.0','8.0','10.0','1','1','2','4','3.0','4.0','2.0','3.0','3.0','4.0','2.0','2.0','3.0','1.0','2.0','2.0','2.0','1.0','4.0','1','1.0','4.0','1.0'
1110,'2','13','Right-wing','3','2','2','4','3','2','2','2','1','2.0','5.0','2.0','2.0','6.0','2.0','5.0','8.0','4','2','2','2','1.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','1.0','3.0','3.0','4.0','3.0','1','1.0','3.0','2.0'
2582,'2','1','Centre-right','5','4','2','2','1','1','2','1','1','7.0','8.0','8.0','4.0','7.0','5.0','4.0','7.0','1','2','2','1','4.0','4.0','4.0','4.0','4.0','4.0','3.0','3.0','3.0','1.0','2.0','4.0','2.0','3.0','3.0','1','2.0','3.0','3.0'
347,'4','11','Green','1','1','1','2','3','3','2','4','1','6.0','6.0','2.0','2.0','6.0','2.0','4.0','8.0','4','4','2','2','3.0','3.0','3.0','4.0','2.0','3.0','3.0','2.0','3.0','1.0','2.0','3.0','3.0','2.0','4.0','1','2.0','2.0','3.0'
1656,'3','16','Other','2','2','3','2','2','1','2','2','3','4.0','6.0','3.0','2.0','1.0','3.0','5.0','7.0','2','4','3','2','2.0','2.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','1','1.0','4.0','2.0'
48,'4','11','Centre-right','2','5','3','1','3','3','2','4','3','6.0','5.0','3.0','1.0','8.0','3.0','2.0','4.0','1','2','4','1','4.0','4.0','3.0','3.0','4.0','4.0','4.0','3.0','3.0','2.0','3.0','4.0','4.0','2.0','3.0','3','1.0','1.0','3.0'
581,'4','1','No-party','5','5','2','5','1','1','1','1','1','5.0','3.0','3.0','1.0','6.0','1.0','1.0','5.0','4','5','4','2','2.0','3.0','3.0','3.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','4.0','4.0','3.0','1','1.0','2.0','3.0'
1607,'4','16','Centre-left','3','3','2','2','1','1','2','2','1','6.0','8.0','8.0','1.0','8.0','1.0','1.0','8.0','2','5','5','5','1.0','1.0','2.0','3.0','2.0','3.0','2.0','1.0','1.0','2.0','2.0','3.0','2.0','3.0','1.0','3','2.0','4.0','3.0'
443,'2','32','Centre-left','2','4','4','2','2','3','3','4','3','9.0','9.0','8.0','4.0','9.0','4.0','6.0','9.0','2','4','2','2','3.0','3.0','3.0','4.0','2.0','4.0','3.0','3.0','2.0','3.0','2.0','3.0','4.0','4.0','4.0','1','2.0','2.0','2.0'
1985,'4','96','-99','1','3','1','1','1','1','1','1','1','1.0','3.0','1.0','1.0','1.0','1.0','1.0','3.0','2','1','1','1','2.0','4.0','2.0','3.0','2.0','4.0','2.0','1.0','3.0','2.0','1.0','3.0','3.0','4.0','4.0','2','2.0','2.0','2.0'
2018,'2','1','Centre-right','3','3','3','4','3','3','3','4','3','8.0','7.0','9.0','3.0','9.0','6.0','7.0','7.0','4','4','4','2','2.0','2.0','2.0','3.0','2.0','4.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','4.0','5','1.0','2.0','1.0'
1037,'2','5','Centre-left','3','3','5','3','1','1','2','2','1','5.0','4.0','4.0','6.0','5.0','7.0','4.0','6.0','2','1','4','2','2.0','3.0','3.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','2.0','1','1.0','4.0','3.0'
