srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
2435,'4','35','Green','2','1','2','5','2','1','2','2','2','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','1','1','1','1','1.0','3.0','2.0','2.0','1','2.0','3.0','2.0'
1273,'2','1','Centre-right','3','3','4','4','1','1','2','2','2','6.0','6.0','4.0','3.0','8.0','4.0','5.0','8.0','4','4','4','2','1.0','2.0','2.0','2.0','1','2.0','2.0','1.0'
1407,'2','-98','Centre-right','3','4','2','2','2','3','2','2','1','6.0','6.0','3.0','7.0','7.0','2.0','1.0','8.0','4','4','5','4','2.0','3.0','3.0','3.0','2','2.0','4.0','3.0'
2427,'2','11','Centre-right','2','5','4','4','3','2','3','2','1','9.0','6.0','4.0','2.0','6.0','6.0','6.0','8.0','2','4','4','2','2.0','3.0','2.0','3.0','1','1.0','2.0','2.0'
1192,'4','11','Other','1','1','1','1','1','1','1','1','1','1.0','2.0','1.0','1.0','3.0','1.0','2.0','6.0','1','1','1','1','3.0','3.0','3.0','2.0','5','1.0','3.0','3.0'
492,'2','20','Green','3','1','3','4','2','3','3','3','1','7.0','7.0','5.0','3.0','7.0','5.0','6.0','7.0','2','4','2','4','2.0','3.0','2.0','3.0','2','2.0','2.0','1.0'
881,'4','15','Centre-right','5','5','5','5','1','2','2','2','2','4.0','4.0','1.0','1.0','5.0','2.0','1.0','4.0','2','4','4','2','1.0','3.0','3.0','3.0','1','2.0','2.0','1.0'
1912,'2','96','Green','3','4','4','4','2','4','1','4','3','9.0','9.0','3.0','2.0','9.0','2.0','4.0','9.0','1','2','2','4','2.0','3.0','3.0','3.0','2','2.0','1.0','1.0'
97,'2','13','Centre-right','3','3','4','3','3','4','4','4','3','7.0','3.0','5.0','3.0','5.0','5.0','3.0','5.0','1','4','1','5','1.0','3.0','4.0','2.0','3','1.0','2.0','1.0'
2334,'4','96','Centre-left','2','1','3','3','2','1','2','4','1','6.0','5.0','5.0','2.0','9.0','3.0','1.0','10.0','2','5','4','5','2.0','4.0','1.0','3.0','1','1.0','4.0','1.0'
108,'2','-96','Centre-right','1','1','4','4','2','2','2','2','2','9.0','9.0','8.0','5.0','6.0','5.0','5.0','9.0','4','2','4','2','2.0','2.0','2.0','3.0','1','1.0','3.0','3.0'
435,'2','11','-98','3','3','3','5','4','4','4','3','4','7.0','4.0','5.0','4.0','6.0','3.0','6.0','8.0','2','2','2','2','1.0','3.0','3.0','1.0','8','2.0','2.0','1.0'
